drug_name,target,ChemicalStructure
R-Styrene Oxide,Halohydrin dehalogenase,C1O[C@@H]1C1=CC=CC=C1
R048-8071,Lanosterol synthase,CN(CCCCCCOC1=CC=C(C(=O)C2=CC=C(Br)C=C2)C(F)=C1)CC=C
R1295,Integrin alpha-4,
R1295,Integrin beta-4,
R1295,Integrin beta-7,
R1626,RNA-dependent RNA-polymerase,
R411,Integrin alpha-4,
R450,Alpha-1A adrenergic receptor,
R450,Alpha-1B adrenergic receptor,
R450,Alpha-1D adrenergic receptor,
R667,Retinoic acid receptor gamma,
R673,Substance-P receptor,
RAF-265,Vascular endothelial growth factor receptor 2,CN1C(NC2=CC=C(C=C2)C(F)(F)F)=NC2=CC(OC3=CC=NC(=C3)C3=NC=C(N3)C(F)(F)F)=CC=C12
RAF-265,Serine/threonine-protein kinase B-raf,CN1C(NC2=CC=C(C=C2)C(F)(F)F)=NC2=CC(OC3=CC=NC(=C3)C3=NC=C(N3)C(F)(F)F)=CC=C12
RALOXIFENE CORE,Estrogen receptor,OC1=CC=C(C=C1)C1=CC2=C(S1)C=C(O)C=C2
RALOXIFENE CORE,Nuclear receptor coactivator 2,OC1=CC=C(C=C1)C1=CC2=C(S1)C=C(O)C=C2
RB106,Thermolysin,[H][C@](S)(CC1=CC=CC=C1)C(=O)NCC(=O)N1[C@@]([H])(CC[C@]1([H])C1=CC=CC=C1)C(O)=O
RB106,Thermolysin,[H][C@](S)(CC1=CC=CC=C1)C(=O)NCC(=O)N1[C@@]([H])(CC[C@]1([H])C1=CC=CC=C1)C(O)=O
RDEA806,Gag-Pol polyprotein,
"REL-(9R,12S)-9,10,11,12-TETRAHYDRO-9,12-EPOXY-1H-DIINDOLO[1,2,3-FG:3',2',1'-KL]PYRROLO[3,4-I][1,6]BENZODIAZOCINE-1,3(2H)-DIONE",Serine/threonine-protein kinase Chk1,[H][C@]12CC[C@]([H])(O1)N1C3=C(C=CC=C3)C3=C4C(=O)NC(=O)C4=C4C5=C(C=CC=C5)N2C4=C13
REP8839,Methionine--tRNA ligase,
REV131,Histamine H4 receptor,
RH-1,NAD(P)H dehydrogenase [quinone] 1,CC1=C(N2CC2)C(=O)C(CO)=C(N2CC2)C1=O
RI 624,Beta-nerve growth factor,
ROX-888,C-C motif chemokine 3,
RPI-78M,Neuronal acetylcholine receptor subunit alpha-10,
RPI-78M,Neuronal acetylcholine receptor subunit alpha-2,
RPI-78M,Neuronal acetylcholine receptor subunit alpha-4,
RPI-78M,Neuronal acetylcholine receptor subunit beta-2,
RPI-78M,Neuronal acetylcholine receptor subunit alpha-7,
RPI-78M,Neuronal acetylcholine receptor subunit alpha-9,
RPR128515,Trypsin-1,COC(=O)[C@H](CC1=CC=CC(=C1)C(N)=N)[C@@H](C)NC(=O)C1=CC=C(C=C1)C1=CC=CC(CN)=C1
RPR131247,Trypsin-1,NC(=N)C1=CC=C(O)C(CN2CC[C@H](NS(=O)(=O)C3=CC4=C(S3)C=CC=N4)C2=O)=C1
RTA 744,DNA topoisomerase 2-alpha,
RU78191,Proto-oncogene tyrosine-protein kinase Src,OC(=O)C(C(O)=O)C1=CC=CC=C1
RU78262,Proto-oncogene tyrosine-protein kinase Src,OP(O)(=O)OC1=C(C=O)C=CC=C1
RU78299,Proto-oncogene tyrosine-protein kinase Src,CC1=CC(C=O)=C(OP(O)(O)=O)C(C=O)=C1
RU78300,Proto-oncogene tyrosine-protein kinase Src,COC1=CC=CC(C=O)=C1OP(O)(O)=O
RU78783,Proto-oncogene tyrosine-protein kinase Src,OP(O)(=O)C(C1=CC=CC=C1)P(O)(O)=O
RU79072,Proto-oncogene tyrosine-protein kinase Src,OP(O)(=O)OC1=CC=CC2=CC=C(N=C12)C#N
RU79073,Proto-oncogene tyrosine-protein kinase Src,OP(O)(=O)OC1=C2NCCCC2=CC=C1
RU79256,Proto-oncogene tyrosine-protein kinase Src,[H][C@](C(O)=O)(C1=CC=CC=C1)S(O)(=O)=O
RU81843,Proto-oncogene tyrosine-protein kinase Src,[H][C@@](CC1=CC=C(OP(O)(O)=O)C=C1)(N=C(C)O)C(O)=N[C@@]1([H])CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
RU82129,Proto-oncogene tyrosine-protein kinase Src,[H]\C(=C(\N=C(C)O)C(O)=N[C@@]1([H])CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O)C1=CC(C=O)=C(CC(O)=O)C=C1
RU82197,Proto-oncogene tyrosine-protein kinase Src,[H][C@@](CC1=CC(C=O)=C(C=C1)C(O)=O)(N=C(C)O)C(O)=N[C@@]1([H])CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
RU82209,Proto-oncogene tyrosine-protein kinase Src,[H][C@@](CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O)(N=C(C)O)C(O)=N[C@@]1([H])CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
RU83876,Proto-oncogene tyrosine-protein kinase Src,[H][C@@](CC1=CC(=C(C=C1)P(O)(O)=O)P(O)(O)=O)(N=C(C)O)C(O)=N[C@@]1([H])CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
RU84687,Proto-oncogene tyrosine-protein kinase Src,CC(=O)N[C@@H](CC1=CC=C(OP(O)(O)=O)C(C=O)=C1)C(=O)N[C@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
RU85053,Proto-oncogene tyrosine-protein kinase Src,[H][C@@](CC1=CC(C(O)=O)=C(CC(O)=O)C=C1)(N=C(C)O)C(O)=N[C@@]1([H])CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
RU85493,Proto-oncogene tyrosine-protein kinase Src,[H][C@@](CC1=CC(=C(OCC(O)=O)C=C1)P(O)(O)=O)(N=C(C)O)C(O)=N[C@@]1([H])CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
RU90395,Proto-oncogene tyrosine-protein kinase Src,[H][C@@](CC1=CC(C(=O)OC)=C(C=C1)C(F)(C(O)=O)C(O)=O)(N=C(C)O)C(O)=N[C@@]1([H])CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
RWJ-51084,Trypsin-1,[H][C@@](CCCNC(N)=N)(NC(=O)C1CCCC1)C(=O)C1=NC2=C(S1)C=CC=C2
Rabeprazole,Potassium-transporting ATPase alpha chain 1,COCCCOC1=C(C)C(CS(=O)C2=NC3=CC=CC=C3N2)=NC=C1
Racepinephrine,Alpha-1A adrenergic receptor,
Racepinephrine,Alpha-1B adrenergic receptor,
Racepinephrine,Alpha-2A adrenergic receptor,
Racepinephrine,Alpha-2B adrenergic receptor,
Racepinephrine,Alpha-2C adrenergic receptor,
Racepinephrine,Beta-1 adrenergic receptor,
Racepinephrine,Beta-2 adrenergic receptor,
Racepinephrine,Alpha-1D adrenergic receptor,
Racepinephrine,Beta-3 adrenergic receptor,
Raclopride,D(2) dopamine receptor,[H][C@@]1(CN=C(O)C2=C(O)C(Cl)=CC(Cl)=C2OC)CCCN1CC
Ractopamine,Estrogen receptor,CC(CCC1=CC=C(O)C=C1)NCC(O)C1=CC=C(O)C=C1
Radezolid,Ribosome-binding protein 1,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(C(F)=C1)C1=CC=C(CNCC2=CN=NN2)C=C1
Radezolid,60S ribosome subunit biogenesis protein NIP7 homolog,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(C(F)=C1)C1=CC=C(CNCC2=CN=NN2)C=C1
Radicicol,Heat shock protein HSP 90-beta,[H]/C1=C([H])\C(=O)CC2=C(C(O)=CC(O)=C2Cl)C(=O)O[C@]([H])(C)C[C@@]2([H])O[C@]2([H])/C([H])=C\1/[H]
Radicicol,Endoplasmin,[H]/C1=C([H])\C(=O)CC2=C(C(O)=CC(O)=C2Cl)C(=O)O[C@]([H])(C)C[C@@]2([H])O[C@]2([H])/C([H])=C\1/[H]
Radicicol,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",[H]/C1=C([H])\C(=O)CC2=C(C(O)=CC(O)=C2Cl)C(=O)O[C@]([H])(C)C[C@@]2([H])O[C@]2([H])/C([H])=C\1/[H]
Radicicol,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",[H]/C1=C([H])\C(=O)CC2=C(C(O)=CC(O)=C2Cl)C(=O)O[C@]([H])(C)C[C@@]2([H])O[C@]2([H])/C([H])=C\1/[H]
Radicicol,Virulence sensor histidine kinase PhoQ,[H]/C1=C([H])\C(=O)CC2=C(C(O)=CC(O)=C2Cl)C(=O)O[C@]([H])(C)C[C@@]2([H])O[C@]2([H])/C([H])=C\1/[H]
Radotinib,Tyrosine-protein kinase ABL1,CC1=CN(C=N1)C1=CC(NC(=O)C2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=N3)=C2)=CC(=C1)C(F)(F)F
Ragaglitazar,Peroxisome proliferator-activated receptor alpha,CCO[C@H](CC1=CC=C(OCCN2C3=CC=CC=C3OC3=C2C=CC=C3)C=C1)C(O)=O
Ragaglitazar,Peroxisome proliferator-activated receptor gamma,CCO[C@H](CC1=CC=C(OCCN2C3=CC=CC=C3OC3=C2C=CC=C3)C=C1)C(O)=O
Raloxifene,Estrogen receptor,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2
Raloxifene,Estrogen receptor beta,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2
Raloxifene,Serpin B9,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2
Raloxifene,Trefoil factor 1,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2
Raltegravir,Integrase,CN1C(=O)C(O)=C(N=C1C(C)(C)NC(=O)C1=NN=C(C)O1)C(=O)NCC1=CC=C(F)C=C1
Raltitrexed,Thymidylate synthase,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
Raltitrexed,"Folylpolyglutamate synthase, mitochondrial",CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
Ramatroban,Prostaglandin D2 receptor 2,[H][C@]1(CCC2=C(C1)C1=CC=CC=C1N2CCC(O)=O)NS(=O)(=O)C1=CC=C(F)C=C1
Ramelteon,Melatonin receptor type 1B,CCC(=O)NCC[C@@H]1CCC2=C1C1=C(OCC1)C=C2
Ramelteon,Melatonin receptor type 1A,CCC(=O)NCC[C@@H]1CCC2=C1C1=C(OCC1)C=C2
Ramipril,Angiotensin-converting enzyme,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
Ramipril,B1 bradykinin receptor,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
Ramosetron,5-hydroxytryptamine receptor 3A,CN1C=C(C(=O)[C@@H]2CCC3=C(C2)N=CN3)C2=C1C=CC=C2
Ramucirumab,Vascular endothelial growth factor receptor 2,
Ranibizumab,Vascular endothelial growth factor A,
Ranirestat,Aldose reductase,FC1=C(CN2C(=O)C3=CC=CN3[C@@]3(CC(=O)NC3=O)C2=O)C=CC(Br)=C1
Ranitidine,Histamine H2 receptor,CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O
Ranitidine,Acetylcholinesterase,CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O
Ranitidine,Cholinesterase,CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O
Ranolazine,Voltage-dependent L-type calcium channel subunit alpha-1C,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
Ranolazine,Voltage-dependent L-type calcium channel subunit alpha-1D,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
Ranolazine,Voltage-dependent L-type calcium channel subunit alpha-1F,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
Ranolazine,Voltage-dependent L-type calcium channel subunit alpha-1S,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
Ranolazine,Voltage-dependent L-type calcium channel subunit beta-1,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
Ranolazine,Voltage-dependent L-type calcium channel subunit beta-2,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
Ranolazine,Voltage-dependent L-type calcium channel subunit beta-3,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
Ranolazine,Voltage-dependent L-type calcium channel subunit beta-4,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
Ranolazine,Alpha-1A adrenergic receptor,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
Ranolazine,Alpha-1B adrenergic receptor,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
Ranolazine,Alpha-1D adrenergic receptor,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
Ranolazine,Beta-1 adrenergic receptor,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
Rapacuronium,Muscarinic acetylcholine receptor M2,[H][C@@]12C[C@@H]([C@H](OC(=O)CC)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)N1CCCCC1)[N+]1(CC=C)CCCCC1
Rasagiline,Amine oxidase [flavin-containing] B,C#CCN[C@@H]1CCC2=CC=CC=C12
Rasagiline,Apoptosis regulator Bcl-2,C#CCN[C@@H]1CCC2=CC=CC=C12
Rauwolfia serpentina root,Synaptic vesicular amine transporter,
Ravulizumab,Complement C5,
Raxibacumab,Protective antigen,
Rbt205 Inhibitor,Serine/threonine-protein kinase pim-1,CN(C)CCCN1C=C(C2=C1C=CC=C2)C1=C(C(=O)NC1=O)C1=CNC2=C1C=CC=C2
Rbt205 Inhibitor,3-phosphoinositide-dependent protein kinase 1,CN(C)CCCN1C=C(C2=C1C=CC=C2)C1=C(C(=O)NC1=O)C1=CNC2=C1C=CC=C2
Rbt205 Inhibitor,Protein kinase C iota type,CN(C)CCCN1C=C(C2=C1C=CC=C2)C1=C(C(=O)NC1=O)C1=CNC2=C1C=CC=C2
Reboxetine,Sodium-dependent noradrenaline transporter,[H][C@@](OC1=CC=CC=C1OCC)(C1=CC=CC=C1)[C@@]1([H])CNCCO1
Recombinant alpha 1-antitrypsin,Alpha-1-antitrypsin,
Regadenoson,Adenosine receptor A2a,CNC(=O)C1=CN(N=C1)C1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(N)=N1
Reglitazar,Peroxisome proliferator-activated receptor alpha,CC1=C(CCOC2=CC=C(CC3C(=O)NOC3=O)C=C2)N=C(O1)C1=CC=CC=C1
Reglitazar,Peroxisome proliferator-activated receptor gamma,CC1=C(CCOC2=CC=C(CC3C(=O)NOC3=O)C=C2)N=C(O1)C1=CC=CC=C1
Regorafenib,Vascular endothelial growth factor receptor 1,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regorafenib,Vascular endothelial growth factor receptor 2,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regorafenib,Vascular endothelial growth factor receptor 3,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regorafenib,Mast/stem cell growth factor receptor Kit,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regorafenib,Platelet-derived growth factor receptor alpha,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regorafenib,Platelet-derived growth factor receptor beta,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regorafenib,Fibroblast growth factor receptor 1,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regorafenib,Fibroblast growth factor receptor 2,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regorafenib,Angiopoietin-1 receptor,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regorafenib,Discoidin domain-containing receptor 2,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regorafenib,High affinity nerve growth factor receptor,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regorafenib,Ephrin type-A receptor 2,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regorafenib,RAF proto-oncogene serine/threonine-protein kinase,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regorafenib,Serine/threonine-protein kinase B-raf,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regorafenib,Mitogen-activated protein kinase 11,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regorafenib,Tyrosine-protein kinase FRK,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regorafenib,Tyrosine-protein kinase ABL1,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regorafenib,Proto-oncogene tyrosine-protein kinase receptor Ret,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
Regramostim,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,
Regramostim,GM-CSF receptor alpha subunit,
Regrelor,P2Y purinoceptor 12,[H][C@]12O[C@@H](O[C@@]1([H])[C@@H](O[C@@H]2COP(O)(O)=O)N1C=NC2=C1N=CN=C2NC(=O)NCC)\C=C\C1=CC=CC=C1
Reidispongiolide A,"Actin, alpha skeletal muscle",CO[C@H](C\C=C\N(C)C=O)[C@@H](C)C(=O)CC[C@H](C)[C@H](OC)[C@H](C)[C@H]1OC(=O)\C=C\C=C(C)\C[C@H](CC2=CC(=O)O[C@H](C2)[C@H](C)[C@H](C[C@H](OC)\C=C\[C@H](C)[C@H](C[C@@H](OC)\C=C\[C@@H]1C)OC)OC)OC
Reidispongiolide C,"Actin, alpha skeletal muscle",[H]/C1=C([H])\C(=O)O[C@]([H])([C@@]([H])(C)[C@@]([H])(OC)[C@@]([H])(C)CCC(=O)[C@]([H])(C)[C@@]([H])(CCC(O)=O)OC)[C@@]([H])(C)\C([H])=C([H])\[C@@]([H])(C[C@]([H])(OC)[C@@]([H])(C)\C([H])=C([H])\[C@]([H])(C[C@]([H])(OC)[C@@]([H])(C)[C@@]2([H])CC(C[C@@]([H])(C\C(C)=C\1/[H])OC)=CC(=O)O2)OC)OC
Relacatib,Cathepsin K,CC(C)C[C@H](NC(=O)C1=CC2=CC=CC=C2O1)C(=O)N[C@H]1CC[C@@H](C)N(CC1=O)S(=O)(=O)C1=CC=CC=N1
Relcovaptan,Oxytocin receptor,COC1=CC=C(C=C1OC)S(=O)(=O)N1[C@@H](C(=O)N2CCC[C@H]2C(N)=O)[C@](O)(C2=CC(Cl)=CC=C12)C1=CC=CC=C1Cl
Relcovaptan,Vasopressin V1a receptor,COC1=CC=C(C=C1OC)S(=O)(=O)N1[C@@H](C(=O)N2CCC[C@H]2C(N)=O)[C@](O)(C2=CC(Cl)=CC=C12)C1=CC=CC=C1Cl
Remifentanil,Mu-type opioid receptor,CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC
Remifentanil,Delta-type opioid receptor,CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC
Remifentanil,Kappa-type opioid receptor,CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC
Remikiren,Renin,[H][C@@](CC1=CC=CC=C1)(CS(=O)(=O)C(C)(C)C)C(O)=N[C@@]([H])(CC1=CN=CN1)C(O)=N[C@@]([H])(CC1CCCCC1)[C@@]([H])(O)[C@@]([H])(O)C1CC1
Remoxipride,D(2) dopamine receptor,CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(Br)=C1OC
Remoxipride,D(4) dopamine receptor,CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(Br)=C1OC
Remoxipride,D(3) dopamine receptor,CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(Br)=C1OC
Remoxipride,5-hydroxytryptamine receptor 2A,CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(Br)=C1OC
Remoxipride,Sigma non-opioid intracellular receptor 1,CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(Br)=C1OC
Renzapride,5-hydroxytryptamine receptor 4,COC1=C(C=CC(N)=C1Cl)C(=O)NC1CCN2CCCC1C2
Renzapride,5-hydroxytryptamine receptor 3A,COC1=C(C=CC(N)=C1Cl)C(=O)NC1CCN2CCCC1C2
Repaglinide,ATP-binding cassette sub-family C member 8,CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N2CCCCC2)=C1)C(O)=O
Repaglinide,Peroxisome proliferator-activated receptor gamma,CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N2CCCCC2)=C1)C(O)=O
Repinotan,5-hydroxytryptamine receptor 1A,O=C1N(CCCCNC[C@H]2CCC3=CC=CC=C3O2)S(=O)(=O)C2=CC=CC=C12
Resatorvid,Cytokine receptor common subunit gamma,[H][C@]1(CCCC=C1C(=O)OCC)S(=O)(=O)NC1=C(Cl)C=C(F)C=C1
Resatorvid,Cytokine receptor common subunit beta,[H][C@]1(CCCC=C1C(=O)OCC)S(=O)(=O)NC1=C(Cl)C=C(F)C=C1
Rescinnamine,Angiotensin-converting enzyme,[H][C@]12C[C@@H](OC(=O)C=CC3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
Reserpine,Synaptic vesicular amine transporter,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
Reserpine,Chromaffin granule amine transporter,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
Reserpine,Baculoviral IAP repeat-containing protein 5,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
Resiniferatoxin,Transient receptor potential cation channel subfamily V member 1,[H][C@]12O[C@]3(CC4=CC=CC=C4)O[C@]1(C[C@@]([H])(C)[C@]1(O3)[C@]3([H])C=C(C)C(=O)[C@@]3(O)CC(COC(=O)CC3=CC(OC)=C(O)C=C3)=C[C@@]21[H])C(C)=C
Resiquimod,Toll-like receptor 7,CCOCC1=NC2=C(N1CC(C)(C)O)C1=CC=CC=C1NC2=N
Resiquimod,Toll-like receptor 8,CCOCC1=NC2=C(N1CC(C)(C)O)C1=CC=CC=C1NC2=N
Reslizumab,Interleukin-5,
Resorcinol,Thyroid peroxidase,OC1=CC(O)=CC=C1
Resveratrol,Ribosyldihydronicotinamide dehydrogenase [quinone],OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,Casein kinase II subunit alpha,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,Prostaglandin G/H synthase 1,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,Prostaglandin G/H synthase 2,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,Arachidonate 15-lipoxygenase,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,Arachidonate 5-lipoxygenase,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,Aryl hydrocarbon receptor,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,Phosphatidylinositol 4-kinase type 2-beta,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,Integrin alpha-5,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,Integrin beta-3,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,Amyloid beta A4 protein,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,Alpha-synuclein,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,Estrogen receptor,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,Melatonin receptor type 1A,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,Melatonin receptor type 1B,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,C-type lectin domain family 14 member A,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,Nuclear receptor subfamily 1 group I member 2,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,Nuclear receptor subfamily 1 group I member 3,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,"Solute carrier family 2, facilitated glucose transporter member 1",OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
Resveratrol,Carbonyl reductase [NADPH] 1,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
